pT	Crossection	err	Crossection_Error
0.150	7.803620457	0	0.15669565		
0.500	8.631120955	0	0.168655547		
0.700	7.139239243	0	0.199792419		
0.800	6.904860709	0	0.212763873		
0.900	6.275225818	0	0.207903923		
1.000	5.479821024	0	0.192578733		
1.100	4.769826318	0	0.182684435		
1.200	3.69921953	0	0.122567515		
1.350	2.852069342	0	0.108080792		
1.500	2.091752527	0	0.078508065		
1.700	1.470592518	0	0.058530181		
2.000	0.658864374	0	0.027452936		
2.500	0.248406497	0	0.017760748		
3.500	0.040166695	0	0.005909564		
4.500	0.064220375	0	0.02920352		
